# 動画 文字起こし

**動画ファイル**: 20250831_第3者相談対策.mkv
**ファイルサイズ**: 254.24 MB
**抽出日時**: 2026-01-19 18:43:38
**処理方法**: Gemini API 直接文字起こし

---

はい、承知いたしました。以下に文字起こし結果を記載します。

[00:01] はい、え、それでは、ええ、営業クエスト。
[00:06] 今回は、ええ、第3者相談への鉄壁対応マニュアルというところで、え、説明の方を進めていきたいと思います。
[00:13] で、ちょっと今回のゴールとアジェンダなんですけれども、えっと、ゴールとしては第3者相談を防ぎ、えっと、お客さん自身の意思決定を促すことで、え、成約率を向上させるというところを、え、ゴールと、え、しております。
[00:28] で、え、アジェンダとしては、えっと、大きく2つで、え、まず、そのなぜ第3者相談が発生するのかっていう、まあ、そこの原理であったりとか、お客さんのこう心理みたいなところを、えっと、解説させていたたいて、で、え、次に、え、実践編というところで、じゃあ実際に第3者に相談したい、ま、旦那さんとかですね、相談したいとなった時に、え、どのようにこう対応すればいいのかっていうところを、え、トークスクリプトと一緒に、え、実践形式で、え、お伝えできればなと思っております。
[01:01] で、えっと、まあ、よくある営業シーンですね、え、ちょっとこういうケースあるんじゃないかなと思って、持ってきたんですけれども、ま、最後こうクロージング部分とか、で、え、まあ、人生1回です、もうやりましょうって言った時に、どんなに良い提案をしても、やっぱり最後、旦那さんに相談したいですって言われるお客さん多いと思うんですね。
[01:21] で、このケースなんですけど、僕の体感、これ9割は失注してます。
[01:26] はい。
[01:26] どうしても、そっからこう保留になって、え、旦那さんに相談するってなった場合ですね。
[01:31] まあ、熱量が前提下がるっていう部分もあるんですけど、ま、旦那さんにこう、ま、色々こう言われて、え、本人も自信がなくなって失注してしまうというケースが、まあ、かなりあるので、まあ、理想としては、えっと、ま、第3者の、え、こう相談っていうところをそもそも防いで、お客さん自身に、ま、意思決定していただくことで、え、その場で意思決定をもらうというのが理想だとは思うので、ま、今回は、え、そのやり方についてちょっと解説していきたいなと思っております。
[02:02] はい。で、そもそもじゃあ、なぜ第3者への相談が発生するのかっていう、ちょっと原理の部分からお伝えできればなと思ってまして、ま、結論色々あるとは思うんですけど。
[02:12] ま、あの、よくある心理としては、あの、結論不安っていう部分が大きいかなと思ってます。
[02:18] え、どんなに良い提案、どんなに良い、え、クロージングを、としたとしても、え、やっぱりですね、え、お客さんのこう背景心理としては、これ本当にうまくいくのかなっていう部分であったりとか、本当に収益化して投資した分回収できるのかなっていうところであったりとか。
[02:33] ま、そもそも、えっと、これ周りに反対されたらどうしようみたいな。
[02:37] ま、色んな懸念としてはお客さん自身にあるとは思うんですけど、ま、結論不安っていう部分が大きいかなと思ってますと。
[02:44] で、なった時に、え、ま、背景心理としては、ま、これもまあ、色々ちょっとAIとかにも聞いてみたんですけど、ま、責任の重たさであったりとか、え、そもそも、え、知識不足。
[02:55] まあ、そのスクラブの魅力が伝わってないとか。
[03:00] あとは、えっと、家族の反対恐れて、まあ、自分自身、本当にできるのかっていうところの自信が持てずに、ま、背中を押してほしいとか。
[03:08] まあ、色々あるんで、ま、あの、お客さんのその時のこう言動であったりとか、から、ま、シーンを汲み取って、しっかり懸念に対しては打ち返していくってことは、え、前提重要にはなるんですけど、え、ま、結論ですね、僕が思うに、ま。
[03:25] 結論、覚悟を持っててないからだと思ってます。
[03:28] で、これに関しては営業マニュアル通りに、えっと、ま、え、理想のヒアリングであったりとか、え、ま、スクラブの説明をしっかりこうするっていうところが、ま、前提としてはあるんですけれども、ま、結論最後ここにあの、帰着するかなとは思ってますと。
[03:45] で、結局、ま、僕も色んなこう相談をしてきたんですけど、ま、覚悟があれば、やっぱり反対を押し切ってでもやると思うんですよ。
[03:52] けど何とかするっていうところで、え、まあ、それぐらいやりたい、それぐらい人生を変えたいていうお客さんの中で覚悟があれば、ま、旦那さんも説得するし、ま、お金の面も何とか工面するしっていうところで、ま、結論やるっていう風にはなると思うので、ま、理想としてはって今みたいに。
[04:18] で、ま、ただ、これ難しいので、ま、じゃあそれどうやってやっていくのっていう話、を、え、にもなってくるんですけど、ま、ちょっとこっから実践編で、え、お伝えできればなと思うんですけど。
[04:39] ま、そもそもこうどのタイミングで旦那さん相談とか確認するかというところいくと、えっと、ま。
[04:46] これ最後って思われるかもしれないんですけど、旦那さん相談の懸念を潰しておきたいので、えっと、タイミングとしては、SNSClubの説明をした後、金額提示前に確認しましょう。
