# チャット

Notion URL: https://www.notion.so/2f2f3b0fba8580fbb9c5f26fb12c88a1
同期日時: 2026-02-01T12:21:40+09:00

---

00:17:57	後半15：上村 彰:	見えます
00:17:59	田中里奈:	☺️
00:18:04	あいこ:	👌
00:18:08	ゆき:	◯
00:18:10	51chika:	👌
00:18:13	st.nt:	👌
00:18:17	青木:	👌
00:18:19	iPhone:	☺️👌
00:18:21	R:	☺️
00:18:22	ぽんラブ:	😆
00:18:25	Ayami Mori:	🙆‍♀️
00:18:28	まるまるのiPhone:	🙆‍♀️
00:18:31	まさこ:	⭕️
00:18:39	Haru:	⭕️
00:18:47	愛美:	よろしくお願いします
00:18:51	iPhone:	🙆‍♀️
00:18:57	tama:	よろしくお願いいたします。
00:18:59	あやか:	よろしくお願いいたします
00:19:03	さな:	よろしくお願いします
00:19:09	Kunie Akiyama:	よろしくお願いします😊
00:19:11	Kana:	よろしくお願いします🙇
00:19:11	かな:	⭕️
00:19:12	もも:	よろしくお願いします！
00:19:14	arisa muraoka:	👍🏻
00:19:17	koheiの iPhone:	👌
00:19:23	あゆみ:	よろしくお願いします！
00:19:26	まりお（Mari）:	よろしくお願いします😊
00:19:26	澤田みほ:	よろしくお願いします
00:19:28	下田 達也:	よろしくお願いします！
00:19:28	佑加 高橋:	よろしくお願いします
00:19:33	S. Yuko:	よろしくお願いいたします。
00:19:36	tex:	よろしくお願いします
00:19:42	かず:	お願いします
00:19:44	aki:	よろしくお願いいたします
00:19:45	関谷夏未:	よろしくお願いいたします！
00:19:47	田寺麻美（まみ-）:	よろしくお願いします。
00:19:51	koichi:	よろしくお願いします。
00:19:54	Akemi:	宜しくお願い致します🙇
00:20:00	aokimanami:	よろしくお願いします
00:20:09	Zoomユーザー:	よろしくお願いいたします😊
00:20:23	♡まゆみ♡:	よろしくお願いします♡
00:20:24	かな:	⭕
00:20:32	chika の iPhone:	よろしくお願いします！
00:20:34	Owner:	よろしくお願いします
00:20:41	河井順子/B.T.ワングレイス:	よろしくお願いいたします🤲
00:21:05	meguro:	よろしくお願いします
00:24:44	iPhone:	💕
00:24:50	Zoomユーザー:	よろしくお願いします。
00:24:51	恵理 関:	よろしくお願いします。
00:25:30	かな:	よろしくお願いします。
